220
H,3.2,-1.6,4.6
C,3.8,1.2,2.3
T,-2.4,2.8,3.3
S,1.6,0.9,4.1
C,-2.6,-1.1,1.3
T,3.2,2.2,6.2
S,-0.9,3.0,1.2
C,1.1,0.5,3.7
T,2.8,4.3,6.5
S,-0.6,2.9,4.2
H,3.2,-1.6,4.6
C,3.8,1.2,2.3
T,-2.4,2.8,3.3
S,1.6,0.9,4.1
C,-2.6,-1.1,1.3
T,3.2,2.2,6.2
S,-0.9,3.0,1.2
C,1.1,0.5,3.7
T,2.8,4.3,6.5
S,-0.6,2.9,4.2
H,3.2,-1.6,4.6
C,3.8,1.2,2.3
T,-2.4,2.8,3.3
S,1.6,0.9,4.1
C,-2.6,-1.1,1.3
T,3.2,2.2,6.2
S,-0.9,3.0,1.2
C,1.1,0.5,3.7
T,2.8,4.3,6.5
S,-0.6,2.9,4.2
H,3.2,-1.6,4.6
C,3.8,1.2,2.3
T,-2.4,2.8,3.3
S,1.6,0.9,4.1
C,-2.6,-1.1,1.3
T,3.2,2.2,6.2
S,-0.9,3.0,1.2
C,1.4,0.9,3.1
T,2.7,4.0,6.4
S,-0.4,2.6,4.3
H,3.3,-1.4,4.4
C,3.7,1.1,2.4
T,-2.0,2.7,3.1
S,1.3,0.7,4.0
C,-2.5,-0.8,1.4
T,3.0,2.0,6.0
S,-0.8,2.8,1.0
C,1.4,0.9,3.1
T,2.7,4.0,6.4
S,-0.4,2.6,4.3
H,3.3,-1.4,4.4
C,3.7,1.1,2.4
T,-2.0,2.7,3.1
S,1.3,0.7,4.0
C,-2.5,-0.8,1.4
T,3.0,2.0,6.0
S,-0.8,2.8,1.0
C,1.4,0.9,3.1
T,2.7,4.0,6.4
S,-0.4,2.6,4.3
H,3.3,-1.4,4.4
C,3.7,1.1,2.4
T,-2.0,2.7,3.1
S,1.3,0.7,4.0
C,-2.5,-0.8,1.4
T,3.0,2.0,6.0
S,-0.8,2.8,1.0
C,1.4,0.9,3.1
T,2.7,4.0,6.4
S,-0.4,2.6,4.3
H,3.3,-1.4,4.4
C,3.7,1.1,2.4
T,-2.0,2.7,3.1
S,1.3,0.7,4.0
C,-2.5,-0.8,1.4
T,3.0,2.0,6.0
S,-0.8,2.8,1.0
